ID;SEASON;TRIAL;A_x;A_y;B_x;B_y;C_x;C_y;D_x;D_y;FOOD_x;FOOD_y;cmxpixel
20201106-2;winter;4;64.86447;73.97766;121.15182;19.29852;174.22275;75.58587;119.54361;129.01418;142.05855;28.23302;0.17869
20201106-2;winter;5;64.14971;74.15635;120.79444;20.19197;173.68668;75.94325;119.18623;129.19287;142.59462;29.84123;0.17869
20201106-2;winter;6;64.68578;74.87111;121.15182;19.83459;174.04406;75.40718;119.36492;129.19287;143.48807;28.23302;0.17869
20201106-2;winter;7;64.86447;74.15635;120.97313;19.11983;174.40144;75.40718;119.18623;129.01418;143.30938;28.23302;0.17869
20201106-2;winter;8;64.68578;74.69242;121.15182;19.83459;173.50799;75.76456;119.36492;129.37156;142.77331;29.30516;0.17869
20201106-2;winter;9;64.68578;74.15635;120.79444;19.6559;174.04406;75.58587;119.54361;129.19287;145.27497;31.62813;0.17869
20201106-2;winter;10;65.04316;75.0498;121.86658;20.01328;174.40144;76.12194;119.54361;129.37156;143.48807;29.66254;0.17869
20201031-1;spring;1;52.89224;70.58255;107.03531;14.11651;163.14397;68.25958;109.0009;124.01086;132.2306;24.65922;0.17869
20201031-1;spring;2;54.50045;71.11862;109.0009;13.75913;163.85873;68.43827;109.53697;123.83217;132.94536;25.0166;0.17869
20201031-1;spring;3;53.24962;70.58255;106.67793;14.11651;162.96528;68.79565;109.53697;123.47479;132.76667;24.30184;0.17869
20201031-1;spring;4;54.32176;70.04648;109.35828;13.04437;164.03742;67.36613;109.35828;123.2961;131.33715;23.58708;0.17869
20201031-1;spring;5;53.78569;70.40386;107.57138;14.47389;163.14397;68.61696;109.35828;124.01086;131.15846;23.58708;0.17869
20201031-1;spring;6;55.03652;70.76124;108.64352;13.93782;164.57349;67.9022;109.53697;123.83217;133.12405;25.37398;0.17869
20201031-1;spring;7;53.96438;69.86779;108.64352;13.40175;163.50135;67.72351;109.35828;123.11741;130.80108;23.2297;0.17869
