ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
20201101-3,T8,spring,5.2,156.0,95.34344,43.70623,-1.7025876,22.616549,391.51904
20201101-3,T8,spring,5.233333,157.0,96.23662,43.17296,1.6197014,31.208176,259.9421
20201101-3,T8,spring,5.266666,158.0,97.19902,42.34572,1.9447453,38.0725,271.81253
20201101-3,T8,spring,5.3,159.0,98.1643,41.363518,2.248827,41.313023,139.46011
20201101-3,T8,spring,5.333333,160.0,99.105034,40.02295,2.3404136,49.131973,323.31677
,,,,,,,,,
,,,,,,,,,
20201101-3,T8,spring,5.433333,163.0,101.28925,35.328503,1.9770217,48.693516,119.62001
,,,,,,,,,
20201101-3,T8,spring,5.5,165.0,102.168365,32.14875,1.7574087,46.281216,288.65347
20201101-3,T8,spring,5.533333,166.0,102.53747,30.598171,1.7910047,47.817596,71.752335
,,,,,,,,,
20201101-3,T8,spring,5.6,168.0,103.184906,27.441477,1.632826,44.771763,216.7802
20201101-3,T8,spring,5.633333,169.0,103.29753,26.018261,1.687848,42.830402,156.44014
20201101-3,T8,spring,5.666666,170.0,103.39709,24.661407,1.5890628,40.81543,60.876072
20201101-3,T8,spring,5.7,171.0,103.65137,23.282812,1.5208094,42.054672,140.61055
20201101-3,T8,spring,5.733333,172.0,103.69976,22.062159,1.5626823,36.648735,233.52025
20201101-3,T8,spring,5.766666,173.0,103.64096,20.85732,1.5592034,36.188473,97.515625
20201101-3,T8,spring,5.8,174.0,103.67893,19.714663,1.5843703,34.298008,103.52951
20201101-3,T8,spring,5.833333,175.0,103.82108,18.789309,1.5316683,28.086555,216.8693
20201101-3,T8,spring,5.866666,176.0,103.91246,17.935944,1.594019,25.747545,79.28854
20201101-3,T8,spring,5.9,177.0,104.02945,17.239227,1.8113123,21.193714,142.87303
20201101-3,T8,spring,5.933333,178.0,104.2693,16.948404,1.8694384,11.309243,381.6636
20201101-3,T8,spring,5.966666,179.0,104.44725,16.938484,1.9580561,5.346794,258.88312
20201101-3,T8,spring,6.0,180.0,104.39572,17.001192,-1.3987433,2.4349494,216.62617
20201101-3,T8,spring,6.033333,181.0,104.18155,17.30403,1.5268873,11.127584,261.02603
20201101-3,T8,spring,6.066666,182.0,103.70139,17.136343,1.2186978,15.257913,486.46014
20201101-3,T8,spring,6.1,183.0,103.31543,16.960968,1.0721855,12.717965,85.059715
20201101-3,T8,spring,6.133333,184.0,102.77311,16.563578,1.0028466,20.170135,244.40643
20201101-3,T8,spring,6.166666,185.0,102.04449,16.266108,0.7624943,23.610416,190.26967
20201101-3,T8,spring,6.2,186.0,101.282196,16.103674,0.60542476,23.381657,125.25081
20201101-3,T8,spring,6.233333,187.0,100.62489,15.938241,0.3871332,20.334326,94.50626
20201101-3,T8,spring,6.266666,188.0,100.004814,15.912626,0.23445772,18.618505,130.22223
20201101-3,T8,spring,6.3,189.0,99.38035,15.885356,0.27669004,18.751465,4.2016463
20201101-3,T8,spring,6.333333,190.0,99.1461,15.8791065,0.23010525,7.029982,351.69656
20201101-3,T8,spring,6.366666,191.0,99.11308,15.8944645,0.22099221,1.0923368,182.15475
20201101-3,T8,spring,6.4,192.0,99.11377,15.90341,0.1757348,0.2691636,30.874374
20201101-3,T8,spring,6.433333,193.0,99.19146,16.001438,0.33151433,3.7523868,105.97488
20201101-3,T8,spring,6.466666,194.0,99.53152,16.151432,0.356467,11.150247,240.72902
20201101-3,T8,spring,6.5,195.0,99.55174,16.2527,0.45304537,3.0979595,291.1755
20201101-3,T8,spring,6.533333,196.0,99.43136,16.26977,0.39557883,3.6476924,147.50055
20201101-3,T8,spring,6.566666,197.0,99.03959,16.25391,0.17478965,11.762776,246.04114
20201101-3,T8,spring,6.6,198.0,98.8211,16.251158,0.27646542,6.5550094,156.40228
20201101-3,T8,spring,6.633333,199.0,99.08106,16.301653,-2.7661273,7.94476,433.26752
20201101-3,T8,spring,6.666666,200.0,99.558655,16.407902,-2.5450985,14.678129,202.19322
20201101-3,T8,spring,6.7,201.0,99.950424,16.62483,0.83281964,13.434228,126.04896
20201101-3,T8,spring,6.733333,202.0,100.269455,16.945091,1.0429688,13.561649,113.72975
20201101-3,T8,spring,6.766666,203.0,100.61969,17.161661,1.3087611,12.353703,97.45885
20201101-3,T8,spring,6.8,204.0,101.006454,17.018017,1.2828667,12.377005,325.8459
20201101-3,T8,spring,6.833333,205.0,101.35773,16.956062,-1.3315628,10.7009325,80.15223
20201101-3,T8,spring,6.866666,206.0,101.54929,16.83528,-1.3290502,6.7941017,153.17615
20201101-3,T8,spring,6.9,207.0,101.6671,16.759268,1.9579927,4.2057614,77.66694
20201101-3,T8,spring,6.933333,208.0,101.964516,16.610956,2.1140804,9.970426,174.26666
20201101-3,T8,spring,6.966666,209.0,102.61189,16.364885,2.4770398,20.777288,327.03207
20201101-3,T8,spring,7.0,210.0,103.44777,16.09917,0.34008592,26.312262,170.53923
20201101-3,T8,spring,7.033333,211.0,104.33067,15.81659,3.007816,27.810957,44.989758
20201101-3,T8,spring,7.066666,212.0,104.843994,15.676106,-0.04929518,15.966034,356.37106
20201101-3,T8,spring,7.1,213.0,104.90397,15.731728,0.08825365,2.4538352,444.54446
20201101-3,T8,spring,7.133333,214.0,104.87716,15.765517,0.113288075,1.2939761,80.53709
20201101-3,T8,spring,7.166666,215.0,104.84303,15.79522,2.8535407,1.357289,7.543496
20201101-3,T8,spring,7.2,216.0,105.000694,15.765094,2.9492257,4.815353,180.80754
20201101-3,T8,spring,7.233333,217.0,105.57668,15.599181,-0.007875823,17.982386,395.8422
20201101-3,T8,spring,7.266666,218.0,106.20371,15.4745035,3.1372526,19.179321,59.05684
20201101-3,T8,spring,7.3,219.0,107.14962,15.501235,-0.07395022,28.38805,317.6741
20201101-3,T8,spring,7.333333,220.0,108.09021,15.532857,-0.010059208,28.233845,6.4867964
20201101-3,T8,spring,7.366666,221.0,109.0127,15.452981,3.11305,27.778637,101.66223
20201101-3,T8,spring,7.4,222.0,110.39222,15.317233,-3.1281242,41.584484,414.3394
20201101-3,T8,spring,7.433333,223.0,111.71003,15.338326,3.1261935,39.539967,151.67137
20201101-3,T8,spring,7.466666,224.0,113.35042,15.266755,-0.13921434,49.258827,302.05774
20201101-3,T8,spring,7.5,225.0,114.85807,15.201696,-0.14061765,45.270786,119.64071
20201101-3,T8,spring,7.533333,226.0,115.932236,15.23162,-3.1109319,32.23788,399.35944
20201101-3,T8,spring,7.566666,227.0,116.74894,15.285327,-3.0934174,24.554222,232.71127
20201101-3,T8,spring,7.6,228.0,116.88649,15.319912,3.1139503,4.2548923,611.4755
20201101-3,T8,spring,7.633333,229.0,116.84845,15.308334,3.1132946,1.1929454,163.40305
20201101-3,T8,spring,7.666666,230.0,116.45394,15.411009,3.0733829,12.229553,336.90067
20201101-3,T8,spring,7.7,231.0,115.77252,15.574951,2.9574118,21.025475,264.02258
20201101-3,T8,spring,7.733333,232.0,114.962944,15.805342,2.6631918,25.251976,129.94733
20201101-3,T8,spring,7.766666,233.0,114.130516,16.08896,-0.8809911,26.382828,52.133904
20201101-3,T8,spring,7.8,234.0,113.19608,16.352926,-1.6340226,29.12955,93.470406
20201101-3,T8,spring,7.833333,235.0,111.927345,16.380701,-2.2557786,38.071648,368.41467
20201101-3,T8,spring,7.866666,236.0,110.38537,16.366745,0.5500577,46.261623,248.76967
20201101-3,T8,spring,7.9,237.0,109.03777,16.056856,0.3629637,41.482067,318.66916
20201101-3,T8,spring,7.933333,238.0,107.97163,15.888676,0.34107742,32.380394,283.56143
20201101-3,T8,spring,7.966666,239.0,106.63253,15.757024,0.3648906,40.366943,247.84364
20201101-3,T8,spring,8.0,240.0,105.63036,15.552451,0.12036923,30.684328,310.28012
20201101-3,T8,spring,8.033333,241.0,104.76996,15.474707,0.09229841,25.91753,171.17227
20201101-3,T8,spring,8.066666,242.0,103.85854,15.511528,0.11344118,27.364964,112.86989
20201101-3,T8,spring,8.1,243.0,103.26247,15.6235285,0.04788834,18.19487,291.7684
20201101-3,T8,spring,8.133333,244.0,103.22526,15.603866,-0.04215006,1.2626526,516.74176
20201101-3,T8,spring,8.166666,245.0,103.4256,15.635375,0.17448995,6.0841203,218.70522
20201101-3,T8,spring,8.2,246.0,103.82568,15.654972,0.25391793,12.01683,180.08206
20201101-3,T8,spring,8.233333,247.0,104.21632,15.768467,-2.5870075,12.203728,84.93591
20201101-3,T8,spring,8.266666,248.0,104.68509,15.939977,-2.2260754,14.974862,87.586845
20201101-3,T8,spring,8.3,249.0,105.107765,16.063602,0.8324038,13.211284,59.824894
20201101-3,T8,spring,8.333333,250.0,105.455826,16.104523,1.1387773,10.514,100.23979
20201101-3,T8,spring,8.366666,251.0,105.7914,16.176456,1.2227196,10.295819,30.093166
20201101-3,T8,spring,8.4,252.0,105.89832,16.212841,-1.7660711,3.388333,208.25043
20201101-3,T8,spring,8.433333,253.0,105.98387,16.24168,1.5760212,2.708419,20.399261
20201101-3,T8,spring,8.466666,254.0,106.00988,16.32155,1.4155643,2.5200353,70.57573
20201101-3,T8,spring,8.5,255.0,106.05039,16.542103,-1.8570586,6.7271123,127.27612
20201101-3,T8,spring,8.533333,256.0,105.99241,16.56164,-1.8418474,1.8354537,201.45938
20201101-3,T8,spring,8.566666,257.0,105.945274,16.592916,-1.8320426,1.6971167,14.382561
20201101-3,T8,spring,8.6,258.0,105.89805,16.533735,-1.8739303,2.2713883,81.41057
20201101-3,T8,spring,8.633333,259.0,105.88426,16.567955,-1.8665518,1.1067874,89.2866
20201101-3,T8,spring,8.666666,260.0,105.87595,16.569496,-1.7831509,0.25357693,29.820923
20201101-3,T8,spring,8.7,261.0,105.87529,16.5692,-1.8768264,0.021842524,7.076765
20201101-3,T8,spring,8.733333,262.0,105.87837,16.559364,-1.879493,0.30927536,9.226578
20201101-3,T8,spring,8.766666,263.0,105.862656,16.49883,1.4104807,1.8762186,48.665215
20201101-3,T8,spring,8.8,264.0,105.7082,16.516062,-2.0681067,4.662332,143.13712
20201101-3,T8,spring,8.833333,265.0,105.38702,16.752258,-1.0205523,11.960549,247.7017
20201101-3,T8,spring,8.866666,266.0,104.98218,17.070547,1.663642,15.449626,105.492714
20201101-3,T8,spring,8.9,267.0,104.61174,17.603075,-0.9064265,19.460533,195.272
20201101-3,T8,spring,8.933333,268.0,104.025734,18.205147,1.9587759,25.20557,203.88138
20201101-3,T8,spring,8.966666,269.0,103.03384,18.88501,-0.6952813,36.076057,371.94897
20201101-3,T8,spring,9.0,270.0,101.95081,19.441938,-0.54200417,36.53419,137.72101
20201101-3,T8,spring,9.033333,271.0,100.842064,19.684576,-0.38418508,34.05008,283.8018
20201101-3,T8,spring,9.066666,272.0,99.51577,19.77338,-0.30769786,39.87823,239.79556
20201101-3,T8,spring,9.1,273.0,98.35974,19.580338,0.06806742,35.160465,296.36237
20201101-3,T8,spring,9.133333,274.0,97.39002,19.39928,0.2936065,29.594578,168.00072
20201101-3,T8,spring,9.166666,275.0,96.39016,19.036442,0.22295484,31.910221,165.8426
